,date,Origin,DepDelay
0,1994-01-31,ATL,5.625219683655536
1,1994-01-31,DFW,5.178404021008641
2,1994-01-31,LAX,2.8488187413142745
3,1994-01-31,ORD,8.285238234434376
4,1994-01-31,STL,7.117412494461675
5,1994-02-28,ATL,4.856897617249193
6,1994-02-28,DFW,3.350537634408602
7,1994-02-28,LAX,4.055882994979262
8,1994-02-28,ORD,4.5079680076973965
9,1994-02-28,STL,2.8817404239494238
10,1994-03-31,ATL,4.256163046131316
11,1994-03-31,DFW,2.2726003490401396
12,1994-03-31,LAX,2.544693281402142
13,1994-03-31,ORD,1.2731157331136738
14,1994-03-31,STL,1.53335289514867
15,1994-04-30,ATL,4.106233977365097
16,1994-04-30,DFW,2.366209005336051
17,1994-04-30,LAX,2.106114558958185
18,1994-04-30,ORD,1.6425164299342803
19,1994-04-30,STL,2.2834453268173487
20,1994-05-31,ATL,2.847963857689653
21,1994-05-31,DFW,1.301371365880417
22,1994-05-31,LAX,1.8265569692911126
23,1994-05-31,ORD,0.7367088607594937
24,1994-05-31,STL,0.3251951170702421
25,1994-06-30,ATL,4.78858077263746
26,1994-06-30,DFW,2.6510221710336883
27,1994-06-30,LAX,2.445888249489512
28,1994-06-30,ORD,2.355935717988595
29,1994-06-30,STL,1.9274089143702609
30,1994-07-31,ATL,6.125213282583016
31,1994-07-31,DFW,3.524715438465238
32,1994-07-31,LAX,2.986916548797737
33,1994-07-31,ORD,2.430322287789378
34,1994-07-31,STL,1.3305288461538463
35,1994-08-31,ATL,3.9361410381978454
36,1994-08-31,DFW,1.0716949854952342
37,1994-08-31,LAX,2.6789876500260914
38,1994-08-31,ORD,1.921665311102074
39,1994-08-31,STL,0.9654043160634814
40,1994-09-30,ATL,2.9510934115838747
41,1994-09-30,DFW,1.2096783441316439
42,1994-09-30,LAX,1.7611926689158384
43,1994-09-30,ORD,1.2479002421806564
44,1994-09-30,STL,0.25349143610013175
45,1994-10-31,ATL,3.909646964962436
46,1994-10-31,DFW,4.405517470145953
47,1994-10-31,LAX,2.4384820125354167
48,1994-10-31,ORD,1.1462478537521463
49,1994-10-31,STL,1.6192716359802093
50,1994-11-30,ATL,3.973039720107018
51,1994-11-30,DFW,3.9015108805953322
52,1994-11-30,LAX,4.850985570121663
53,1994-11-30,ORD,2.8289876108029652
54,1994-11-30,STL,4.193533697632058
55,1994-12-31,ATL,4.996937512217372
56,1994-12-31,DFW,7.330019880715706
57,1994-12-31,LAX,5.073498878830662
58,1994-12-31,ORD,2.9223039837604667
59,1994-12-31,STL,5.038252848616386
0,1995-01-31,ATL,4.586912598579157
1,1995-01-31,DFW,5.893876259296376
2,1995-01-31,LAX,9.164456690201481
3,1995-01-31,ORD,6.020199550034237
4,1995-01-31,STL,10.806772373018006
5,1995-02-28,ATL,5.5315923104824085
6,1995-02-28,DFW,4.814262810996972
7,1995-02-28,LAX,4.170705341861094
8,1995-02-28,ORD,3.1652350210745346
9,1995-02-28,STL,3.321080884359931
10,1995-03-31,ATL,4.16209029066172
11,1995-03-31,DFW,8.503249961000469
12,1995-03-31,LAX,4.9336832061068705
13,1995-03-31,ORD,4.167066459714971
14,1995-03-31,STL,2.0295436349079266
15,1995-04-30,ATL,4.4874478330658105
16,1995-04-30,DFW,3.380456682337139
17,1995-04-30,LAX,3.67432607989607
18,1995-04-30,ORD,4.119959778783308
19,1995-04-30,STL,2.8881381381381384
20,1995-05-31,ATL,4.267042667974497
21,1995-05-31,DFW,3.8429114551765937
22,1995-05-31,LAX,3.805067135549872
23,1995-05-31,ORD,3.3648729150119143
24,1995-05-31,STL,6.32237530519707
25,1995-06-30,ATL,7.290094637223975
26,1995-06-30,DFW,3.0380379817957075
27,1995-06-30,LAX,5.474077608142494
28,1995-06-30,ORD,5.437531259377813
29,1995-06-30,STL,5.081384471468662
30,1995-07-31,ATL,5.498483561810021
31,1995-07-31,DFW,3.0520139387106693
32,1995-07-31,LAX,3.820044680687158
33,1995-07-31,ORD,5.093488900973946
34,1995-07-31,STL,2.8859532556867036
35,1995-08-31,ATL,6.547218063872256
36,1995-08-31,DFW,1.9244596947659531
37,1995-08-31,LAX,4.118724202626642
38,1995-08-31,ORD,7.076099706744868
39,1995-08-31,STL,5.179748500041095
40,1995-09-30,ATL,3.851773564964661
41,1995-09-30,DFW,1.0452697505768598
42,1995-09-30,LAX,2.679558934090719
43,1995-09-30,ORD,2.0547673380295666
44,1995-09-30,STL,1.7368636773506025
45,1995-10-31,ATL,6.389994555683262
46,1995-10-31,DFW,1.9899943557904458
47,1995-10-31,LAX,4.58640807316304
48,1995-10-31,ORD,3.496105571265565
49,1995-10-31,STL,2.7749131609417215
50,1995-11-30,ATL,8.662684375625709
51,1995-11-30,DFW,2.7963223303154696
52,1995-11-30,LAX,7.298044111527258
53,1995-11-30,ORD,6.2146181082448155
54,1995-11-30,STL,3.9754692130391835
55,1995-12-31,ATL,13.350303398058253
56,1995-12-31,DFW,9.154225999081305
57,1995-12-31,LAX,9.72726531278036
58,1995-12-31,ORD,10.571511382799326
59,1995-12-31,STL,12.04810257292832
0,1996-01-31,ATL,15.592177019996239
1,1996-01-31,DFW,9.527080270508675
2,1996-01-31,LAX,7.303678709571229
3,1996-01-31,ORD,12.20787757677745
4,1996-01-31,STL,14.282037815126051
5,1996-02-29,ATL,10.371728453205948
6,1996-02-29,DFW,5.437651848447042
7,1996-02-29,LAX,7.4851416724257085
8,1996-02-29,ORD,6.02000324376926
9,1996-02-29,STL,4.718382978723405
10,1996-03-31,ATL,9.615995731309658
11,1996-03-31,DFW,4.030141212768482
12,1996-03-31,LAX,5.368809272918862
13,1996-03-31,ORD,4.704338351822504
14,1996-03-31,STL,6.266698359876396
15,1996-04-30,ATL,4.341307338077866
16,1996-04-30,DFW,3.5319959521400084
17,1996-04-30,LAX,2.9948060651755046
18,1996-04-30,ORD,3.548333496236927
19,1996-04-30,STL,3.8502783235101505
20,1996-05-31,ATL,3.1675325433424786
21,1996-05-31,DFW,2.287323943661972
22,1996-05-31,LAX,3.2769757768534378
23,1996-05-31,ORD,9.053382065273345
24,1996-05-31,STL,6.747023105433326
25,1996-06-30,ATL,5.068483752260962
26,1996-06-30,DFW,5.697073699421965
27,1996-06-30,LAX,4.338027035725781
28,1996-06-30,ORD,8.095432822584618
29,1996-06-30,STL,6.595288715026788
30,1996-07-31,ATL,4.113775662005356
31,1996-07-31,DFW,8.416406572051116
32,1996-07-31,LAX,4.306009652810213
33,1996-07-31,ORD,7.072146658781786
34,1996-07-31,STL,6.702873802582257
35,1996-08-31,ATL,5.576768046903628
36,1996-08-31,DFW,8.081130625036959
37,1996-08-31,LAX,5.430740037950664
38,1996-08-31,ORD,5.1136673083243345
39,1996-08-31,STL,5.58638291188943
40,1996-09-30,ATL,2.704066358987152
41,1996-09-30,DFW,3.286179921773142
42,1996-09-30,LAX,3.974650556740109
43,1996-09-30,ORD,3.040122982321291
44,1996-09-30,STL,3.662698072805139
45,1996-10-31,ATL,2.9983175726634563
46,1996-10-31,DFW,4.193590273269197
47,1996-10-31,LAX,6.790263659466328
48,1996-10-31,ORD,2.940893871014704
49,1996-10-31,STL,4.394835757476712
50,1996-11-30,ATL,3.7558501863505835
51,1996-11-30,DFW,3.129816955684008
52,1996-11-30,LAX,4.718244237371261
53,1996-11-30,ORD,2.082735094954432
54,1996-11-30,STL,4.095074152542373
55,1996-12-31,ATL,6.923086277132608
56,1996-12-31,DFW,7.261210323014051
57,1996-12-31,LAX,12.35934242181235
58,1996-12-31,ORD,9.522952385740862
59,1996-12-31,STL,10.565646768362578
0,1997-01-31,ATL,5.960114314115308
1,1997-01-31,DFW,6.687485001199904
2,1997-01-31,LAX,9.24158496732026
3,1997-01-31,ORD,8.572989177379199
4,1997-01-31,STL,8.497225818383576
5,1997-02-28,ATL,7.490259740259741
6,1997-02-28,DFW,6.676294561540463
7,1997-02-28,LAX,4.231454514305294
8,1997-02-28,ORD,5.153846153846154
9,1997-02-28,STL,3.940754716981132
10,1997-03-31,ATL,5.6226403678606
11,1997-03-31,DFW,5.183219077752388
12,1997-03-31,LAX,4.888809010304337
13,1997-03-31,ORD,3.6248237639165737
14,1997-03-31,STL,3.557492152651578
15,1997-04-30,ATL,5.975499092558984
16,1997-04-30,DFW,4.037802094914857
17,1997-04-30,LAX,3.5620443934802197
18,1997-04-30,ORD,2.7434778246036524
19,1997-04-30,STL,1.7168217855911754
20,1997-05-31,ATL,5.304857621440536
21,1997-05-31,DFW,1.6973499883259398
22,1997-05-31,LAX,2.853766056091814
23,1997-05-31,ORD,1.6996624305003971
24,1997-05-31,STL,0.7134681718407024
25,1997-06-30,ATL,8.064209617045782
26,1997-06-30,DFW,4.207441749881122
27,1997-06-30,LAX,5.539391480730223
28,1997-06-30,ORD,4.135204081632653
29,1997-06-30,STL,1.6538168906923663
30,1997-07-31,ATL,6.89530209051229
31,1997-07-31,DFW,4.3203228596137215
32,1997-07-31,LAX,3.6518778991470895
33,1997-07-31,ORD,4.383736755127831
34,1997-07-31,STL,1.6187683284457477
35,1997-08-31,ATL,3.5818823393301327
36,1997-08-31,DFW,1.1022580825909116
37,1997-08-31,LAX,5.057466228550566
38,1997-08-31,ORD,3.3967217941797125
39,1997-08-31,STL,2.53048
40,1997-09-30,ATL,1.761266466373931
41,1997-09-30,DFW,-0.3295082941910934
42,1997-09-30,LAX,0.9579060156130415
43,1997-09-30,ORD,0.6472240011823243
44,1997-09-30,STL,0.08869426751592356
45,1997-10-31,ATL,2.780553568480713
46,1997-10-31,DFW,2.23929173693086
47,1997-10-31,LAX,2.979227091008858
48,1997-10-31,ORD,1.8000473484848485
49,1997-10-31,STL,0.6529244047160361
50,1997-11-30,ATL,5.080924506668276
51,1997-11-30,DFW,1.5413225706302391
52,1997-11-30,LAX,3.8853233425639355
53,1997-11-30,ORD,2.093116554054054
54,1997-11-30,STL,3.512923351158645
55,1997-12-31,ATL,5.014597296376236
56,1997-12-31,DFW,6.242110166530803
57,1997-12-31,LAX,4.73189146677153
58,1997-12-31,ORD,3.761256225226141
59,1997-12-31,STL,8.488847740089218
0,1998-01-31,ATL,4.581059110440135
1,1998-01-31,DFW,2.5526587802917193
2,1998-01-31,LAX,4.3644921011705
3,1998-01-31,ORD,3.887124420246017
4,1998-01-31,STL,4.737324373854612
5,1998-02-28,ATL,4.618866037382009
6,1998-02-28,DFW,1.174585075383251
7,1998-02-28,LAX,6.532122650118635
8,1998-02-28,ORD,1.0870800327779295
9,1998-02-28,STL,3.553479682391406
10,1998-03-31,ATL,4.715808170515098
11,1998-03-31,DFW,3.2920481927710843
12,1998-03-31,LAX,4.659067191137513
13,1998-03-31,ORD,4.662708567918927
14,1998-03-31,STL,7.799787181795859
15,1998-04-30,ATL,4.772549245478632
16,1998-04-30,DFW,1.919465154969499
17,1998-04-30,LAX,3.4350119508777714
18,1998-04-30,ORD,3.113116967545132
19,1998-04-30,STL,3.2583529794325665
20,1998-05-31,ATL,3.691163805477407
21,1998-05-31,DFW,1.9501732584538176
22,1998-05-31,LAX,3.7591223467684234
23,1998-05-31,ORD,6.349587062954354
24,1998-05-31,STL,5.6790526044795335
25,1998-06-30,ATL,5.1610589538748615
26,1998-06-30,DFW,4.225061336843995
27,1998-06-30,LAX,4.234731012658228
28,1998-06-30,ORD,8.8438333675354
29,1998-06-30,STL,8.796297840406904
30,1998-07-31,ATL,3.5536093723080455
31,1998-07-31,DFW,3.222616898619927
32,1998-07-31,LAX,2.7466863033873343
33,1998-07-31,ORD,4.035546708374804
34,1998-07-31,STL,4.631093985592226
35,1998-08-31,ATL,2.7906730259671435
36,1998-08-31,DFW,3.0602807101727447
37,1998-08-31,LAX,3.100768119248612
38,1998-08-31,ORD,5.392019115890084
39,1998-08-31,STL,1.9667218673606182
40,1998-09-30,ATL,1.3093230546856178
41,1998-09-30,DFW,1.079873563917087
42,1998-09-30,LAX,1.8985837126960041
43,1998-09-30,ORD,3.505310143142989
44,1998-09-30,STL,0.4559150830337271
45,1998-10-31,ATL,0.7998860074095184
46,1998-10-31,DFW,2.894638636646349
47,1998-10-31,LAX,2.4071837253655435
48,1998-10-31,ORD,3.2719181130396082
49,1998-10-31,STL,0.4101703046294075
50,1998-11-30,ATL,1.4709329582747304
51,1998-11-30,DFW,1.7654388193310349
52,1998-11-30,LAX,2.3229630875304803
53,1998-11-30,ORD,0.7756966882067852
54,1998-11-30,STL,0.4990271550630234
55,1998-12-31,ATL,4.531615120274914
56,1998-12-31,DFW,4.733353941267388
57,1998-12-31,LAX,5.583868378812199
58,1998-12-31,ORD,3.77542789182481
