,date,dest_city,origin_city,ArrDelay
0,1994-01-31,Minneapolis,Chicago,6.157718120805369
1,1994-01-31,Las Vegas,Los Angeles,0.7304878048780488
2,1994-01-31,San Francisco,Los Angeles,4.3400525854513585
3,1994-01-31,Chicago,Minneapolis,4.159090909090909
4,1994-01-31,Los Angeles,San Francisco,-0.4592920353982301
5,1994-02-28,Minneapolis,Chicago,3.5796930342384887
6,1994-02-28,Las Vegas,Los Angeles,1.3076923076923077
7,1994-02-28,San Francisco,Los Angeles,7.645286686103012
8,1994-02-28,Chicago,Minneapolis,-1.4403341288782816
9,1994-02-28,Los Angeles,San Francisco,2.7892156862745097
10,1994-03-31,Minneapolis,Chicago,-1.9738878143133463
11,1994-03-31,Las Vegas,Los Angeles,2.5957943925233646
12,1994-03-31,San Francisco,Los Angeles,1.6115843270868824
13,1994-03-31,Chicago,Minneapolis,-5.564251207729469
14,1994-03-31,Los Angeles,San Francisco,2.924640135478408
15,1994-04-30,Minneapolis,Chicago,-0.6315261044176707
16,1994-04-30,Las Vegas,Los Angeles,2.491504854368932
17,1994-04-30,San Francisco,Los Angeles,4.288194444444445
18,1994-04-30,Chicago,Minneapolis,-4.385405960945529
19,1994-04-30,Los Angeles,San Francisco,1.8357446808510638
20,1994-05-31,Minneapolis,Chicago,-2.0825335892514394
21,1994-05-31,Las Vegas,Los Angeles,2.8733031674208145
22,1994-05-31,San Francisco,Los Angeles,3.4373379429559203
23,1994-05-31,Chicago,Minneapolis,-5.1228239845261125
24,1994-05-31,Los Angeles,San Francisco,2.9725228975853457
25,1994-06-30,Minneapolis,Chicago,0.23139653414882771
26,1994-06-30,Las Vegas,Los Angeles,4.212792127921279
27,1994-06-30,San Francisco,Los Angeles,0.30835486649440136
28,1994-06-30,Chicago,Minneapolis,-1.234825870646766
29,1994-06-30,Los Angeles,San Francisco,1.7003338898163607
30,1994-07-31,Minneapolis,Chicago,-0.19903846153846153
31,1994-07-31,Las Vegas,Los Angeles,7.161904761904762
32,1994-07-31,San Francisco,Los Angeles,2.4362139917695473
33,1994-07-31,Chicago,Minneapolis,-1.1514860977948227
34,1994-07-31,Los Angeles,San Francisco,3.3276143790849675
35,1994-08-31,Minneapolis,Chicago,1.0559701492537314
36,1994-08-31,Las Vegas,Los Angeles,5.992924528301887
37,1994-08-31,San Francisco,Los Angeles,-0.144
38,1994-08-31,Chicago,Minneapolis,-2.136711281070746
39,1994-08-31,Los Angeles,San Francisco,1.2966855295068715
40,1994-09-30,Minneapolis,Chicago,-0.6040658276863504
41,1994-09-30,Las Vegas,Los Angeles,3.755787037037037
42,1994-09-30,San Francisco,Los Angeles,-0.7462437395659433
43,1994-09-30,Chicago,Minneapolis,-2.206997084548105
44,1994-09-30,Los Angeles,San Francisco,0.9746192893401016
45,1994-10-31,Minneapolis,Chicago,-1.677858439201452
46,1994-10-31,Las Vegas,Los Angeles,5.105203619909502
47,1994-10-31,San Francisco,Los Angeles,-6.010586319218241
48,1994-10-31,Chicago,Minneapolis,-2.6684831970935514
49,1994-10-31,Los Angeles,San Francisco,-4.014434643143544
50,1994-11-30,Minneapolis,Chicago,-1.9546370967741935
51,1994-11-30,Las Vegas,Los Angeles,4.388781431334623
52,1994-11-30,San Francisco,Los Angeles,-0.06906338694418164
53,1994-11-30,Chicago,Minneapolis,-3.9618090452261305
54,1994-11-30,Los Angeles,San Francisco,-1.9593417231364956
55,1994-12-31,Minneapolis,Chicago,-3.6722846441947565
56,1994-12-31,Las Vegas,Los Angeles,5.313157894736842
57,1994-12-31,San Francisco,Los Angeles,-1.2850953206239168
58,1994-12-31,Chicago,Minneapolis,-2.511342155009452
59,1994-12-31,Los Angeles,San Francisco,-2.235190097259063
0,1995-01-31,Minneapolis,Chicago,-4.241347053320861
1,1995-01-31,Las Vegas,Los Angeles,11.222405271828666
2,1995-01-31,San Francisco,Los Angeles,15.05397987191217
3,1995-01-31,Chicago,Minneapolis,-0.26360225140712945
4,1995-01-31,Los Angeles,San Francisco,9.144052044609666
5,1995-02-28,Minneapolis,Chicago,-4.787821122740247
6,1995-02-28,Las Vegas,Los Angeles,3.545060658578856
7,1995-02-28,San Francisco,Los Angeles,-2.5150943396226415
8,1995-02-28,Chicago,Minneapolis,-4.599019607843137
9,1995-02-28,Los Angeles,San Francisco,0.23069590085795996
10,1995-03-31,Minneapolis,Chicago,-3.399826539462272
11,1995-03-31,Las Vegas,Los Angeles,3.923076923076923
12,1995-03-31,San Francisco,Los Angeles,4.249562171628722
13,1995-03-31,Chicago,Minneapolis,-1.2113174182139699
14,1995-03-31,Los Angeles,San Francisco,2.537761601455869
15,1995-04-30,Minneapolis,Chicago,-2.1414233576642334
16,1995-04-30,Las Vegas,Los Angeles,1.5386454183266933
17,1995-04-30,San Francisco,Los Angeles,0.3714788732394366
18,1995-04-30,Chicago,Minneapolis,-1.798695246971109
19,1995-04-30,Los Angeles,San Francisco,-0.981300089047195
20,1995-05-31,Minneapolis,Chicago,-3.1863303498779496
21,1995-05-31,Las Vegas,Los Angeles,1.1686541737649063
22,1995-05-31,San Francisco,Los Angeles,1.5388007054673722
23,1995-05-31,Chicago,Minneapolis,-1.3813914501257334
24,1995-05-31,Los Angeles,San Francisco,0.3586459286367795
25,1995-06-30,Minneapolis,Chicago,-2.411129568106312
26,1995-06-30,Las Vegas,Los Angeles,5.614222222222222
27,1995-06-30,San Francisco,Los Angeles,4.105263157894737
28,1995-06-30,Chicago,Minneapolis,1.8573883161512028
29,1995-06-30,Los Angeles,San Francisco,5.45925925925926
30,1995-07-31,Minneapolis,Chicago,0.5656652360515021
31,1995-07-31,Las Vegas,Los Angeles,3.2867194371152153
32,1995-07-31,San Francisco,Los Angeles,-2.964737793851718
33,1995-07-31,Chicago,Minneapolis,1.823175965665236
34,1995-07-31,Los Angeles,San Francisco,0.596100278551532
35,1995-08-31,Minneapolis,Chicago,4.923832923832924
36,1995-08-31,Las Vegas,Los Angeles,4.5931330472103005
37,1995-08-31,San Francisco,Los Angeles,-3.20704845814978
38,1995-08-31,Chicago,Minneapolis,6.5726004922067265
39,1995-08-31,Los Angeles,San Francisco,0.8318345323741008
40,1995-09-30,Minneapolis,Chicago,-1.5202360876897134
41,1995-09-30,Las Vegas,Los Angeles,2.112488928255093
42,1995-09-30,San Francisco,Los Angeles,-1.3868194842406876
43,1995-09-30,Chicago,Minneapolis,-0.7558441558441559
44,1995-09-30,Los Angeles,San Francisco,-0.9445506692160612
45,1995-10-31,Minneapolis,Chicago,0.6349840255591054
46,1995-10-31,Las Vegas,Los Angeles,4.940818102697998
47,1995-10-31,San Francisco,Los Angeles,2.2808988764044944
48,1995-10-31,Chicago,Minneapolis,0.5387755102040817
49,1995-10-31,Los Angeles,San Francisco,7.66376306620209
50,1995-11-30,Minneapolis,Chicago,1.741991341991342
51,1995-11-30,Las Vegas,Los Angeles,10.718132854578098
52,1995-11-30,San Francisco,Los Angeles,11.9335232668566
53,1995-11-30,Chicago,Minneapolis,1.1898846495119788
54,1995-11-30,Los Angeles,San Francisco,10.74409820585458
55,1995-12-31,Minneapolis,Chicago,4.400544959128065
56,1995-12-31,Las Vegas,Los Angeles,10.211754537597233
57,1995-12-31,San Francisco,Los Angeles,28.5179584120983
58,1995-12-31,Chicago,Minneapolis,3.657142857142857
59,1995-12-31,Los Angeles,San Francisco,20.013270142180094
0,1996-01-31,Minneapolis,Chicago,6.206864564007422
1,1996-01-31,Las Vegas,Los Angeles,5.923339011925043
2,1996-01-31,San Francisco,Los Angeles,15.366666666666667
3,1996-01-31,Chicago,Minneapolis,6.797169811320755
4,1996-01-31,Los Angeles,San Francisco,7.832221163012393
5,1996-02-29,Minneapolis,Chicago,2.9489322191272054
6,1996-02-29,Las Vegas,Los Angeles,6.958818263205013
7,1996-02-29,San Francisco,Los Angeles,19.64110127826942
8,1996-02-29,Chicago,Minneapolis,1.299618320610687
9,1996-02-29,Los Angeles,San Francisco,14.749256689791872
10,1996-03-31,Minneapolis,Chicago,-1.2406277244986923
11,1996-03-31,Las Vegas,Los Angeles,3.9771573604060912
12,1996-03-31,San Francisco,Los Angeles,2.3858549686660697
13,1996-03-31,Chicago,Minneapolis,-0.46024734982332155
14,1996-03-31,Los Angeles,San Francisco,2.015342960288809
15,1996-04-30,Minneapolis,Chicago,-1.321148825065274
16,1996-04-30,Las Vegas,Los Angeles,1.8904469763365468
17,1996-04-30,San Francisco,Los Angeles,-1.0419776119402986
18,1996-04-30,Chicago,Minneapolis,-1.0348214285714286
19,1996-04-30,Los Angeles,San Francisco,-3.1037383177570095
20,1996-05-31,Minneapolis,Chicago,9.771758436944937
21,1996-05-31,Las Vegas,Los Angeles,0.566722972972973
22,1996-05-31,San Francisco,Los Angeles,-0.023963133640552997
23,1996-05-31,Chicago,Minneapolis,5.604757548032937
24,1996-05-31,Los Angeles,San Francisco,-3.0511669658886893
25,1996-06-30,Minneapolis,Chicago,7.121621621621622
26,1996-06-30,Las Vegas,Los Angeles,2.4783333333333335
27,1996-06-30,San Francisco,Los Angeles,0.5585156993339676
28,1996-06-30,Chicago,Minneapolis,6.628010704727921
29,1996-06-30,Los Angeles,San Francisco,0.3290909090909091
30,1996-07-31,Minneapolis,Chicago,4.537671232876712
31,1996-07-31,Las Vegas,Los Angeles,4.373221757322176
32,1996-07-31,San Francisco,Los Angeles,-1.6153136531365313
33,1996-07-31,Chicago,Minneapolis,0.9732528041415013
34,1996-07-31,Los Angeles,San Francisco,0.21422300263388938
35,1996-08-31,Minneapolis,Chicago,1.709322033898305
36,1996-08-31,Las Vegas,Los Angeles,5.978861788617886
37,1996-08-31,San Francisco,Los Angeles,1.0205223880597014
