,date,dest_city,origin_city,ArrDelay
0,1994-01-31,Minneapolis,Chicago,11.457427536231885
1,1994-01-31,Las Vegas,Los Angeles,3.0869990224828934
2,1994-01-31,San Francisco,Los Angeles,9.337392550143267
3,1994-01-31,Chicago,Minneapolis,9.772140221402214
4,1994-01-31,Los Angeles,San Francisco,3.2844638949671774
5,1994-02-28,Minneapolis,Chicago,9.562198649951783
6,1994-02-28,Las Vegas,Los Angeles,3.841880341880342
7,1994-02-28,San Francisco,Los Angeles,12.59763779527559
8,1994-02-28,Chicago,Minneapolis,2.8917073170731706
9,1994-02-28,Los Angeles,San Francisco,6.537914691943128
10,1994-03-31,Minneapolis,Chicago,-0.5335968379446641
11,1994-03-31,Las Vegas,Los Angeles,6.3253588516746415
12,1994-03-31,San Francisco,Los Angeles,6.232574679943101
13,1994-03-31,Chicago,Minneapolis,-4.425414364640884
14,1994-03-31,Los Angeles,San Francisco,6.0297783933518
15,1994-04-30,Minneapolis,Chicago,2.831136738056013
16,1994-04-30,Las Vegas,Los Angeles,4.179310344827586
17,1994-04-30,San Francisco,Los Angeles,8.666666666666666
18,1994-04-30,Chicago,Minneapolis,-0.42797319932998323
19,1994-04-30,Los Angeles,San Francisco,4.206293706293707
20,1994-05-31,Minneapolis,Chicago,-0.5596899224806201
21,1994-05-31,Las Vegas,Los Angeles,4.814285714285714
22,1994-05-31,San Francisco,Los Angeles,6.944173063503141
23,1994-05-31,Chicago,Minneapolis,-3.9446177847113884
24,1994-05-31,Los Angeles,San Francisco,5.3429752066115705
25,1994-06-30,Minneapolis,Chicago,4.1797385620915035
26,1994-06-30,Las Vegas,Los Angeles,5.833833833833834
27,1994-06-30,San Francisco,Los Angeles,2.63125
28,1994-06-30,Chicago,Minneapolis,2.675040518638574
29,1994-06-30,Los Angeles,San Francisco,3.500341296928328
30,1994-07-31,Minneapolis,Chicago,5.783805031446541
31,1994-07-31,Las Vegas,Los Angeles,10.269717624148004
32,1994-07-31,San Francisco,Los Angeles,6.246822742474916
33,1994-07-31,Chicago,Minneapolis,3.8982649842271293
34,1994-07-31,Los Angeles,San Francisco,5.405441274054413
35,1994-08-31,Minneapolis,Chicago,4.980828220858895
36,1994-08-31,Las Vegas,Los Angeles,8.284210526315789
37,1994-08-31,San Francisco,Los Angeles,1.990151017728168
38,1994-08-31,Chicago,Minneapolis,2.5344563552833077
39,1994-08-31,Los Angeles,San Francisco,2.8550913838120104
40,1994-09-30,Minneapolis,Chicago,2.0754276827371694
41,1994-09-30,Las Vegas,Los Angeles,5.93289224952741
42,1994-09-30,San Francisco,Los Angeles,1.6646090534979423
43,1994-09-30,Chicago,Minneapolis,-0.0971563981042654
44,1994-09-30,Los Angeles,San Francisco,2.696098562628337
45,1994-10-31,Minneapolis,Chicago,0.1
46,1994-10-31,Las Vegas,Los Angeles,7.445255474452555
47,1994-10-31,San Francisco,Los Angeles,-3.0112137203166225
48,1994-10-31,Chicago,Minneapolis,-0.4054652880354505
49,1994-10-31,Los Angeles,San Francisco,-2.040105193951348
50,1994-11-30,Minneapolis,Chicago,2.605177993527508
51,1994-11-30,Las Vegas,Los Angeles,8.333073322932917
52,1994-11-30,San Francisco,Los Angeles,6.896043444530644
53,1994-11-30,Chicago,Minneapolis,0.7459546925566343
54,1994-11-30,Los Angeles,San Francisco,3.4821150855365475
55,1994-12-31,Minneapolis,Chicago,-0.22835249042145594
56,1994-12-31,Las Vegas,Los Angeles,9.142754662840746
57,1994-12-31,San Francisco,Los Angeles,2.81210415200563
58,1994-12-31,Chicago,Minneapolis,0.13292117465224113
59,1994-12-31,Los Angeles,San Francisco,1.4828815977175465
0,1995-01-31,Minneapolis,Chicago,0.8618867924528302
1,1995-01-31,Las Vegas,Los Angeles,17.662450066577897
2,1995-01-31,San Francisco,Los Angeles,19.956328645447815
3,1995-01-31,Chicago,Minneapolis,4.164488854727133
4,1995-01-31,Los Angeles,San Francisco,14.048301886792453
5,1995-02-28,Minneapolis,Chicago,-2.6703210649960845
6,1995-02-28,Las Vegas,Los Angeles,7.233380480905233
7,1995-02-28,San Francisco,Los Angeles,0.9109062980030722
8,1995-02-28,Chicago,Minneapolis,-1.6730462519936204
9,1995-02-28,Los Angeles,San Francisco,2.5245901639344264
10,1995-03-31,Minneapolis,Chicago,1.0319602272727273
11,1995-03-31,Las Vegas,Los Angeles,8.8875
12,1995-03-31,San Francisco,Los Angeles,10.690751445086706
13,1995-03-31,Chicago,Minneapolis,3.1316363636363636
14,1995-03-31,Los Angeles,San Francisco,8.142857142857142
15,1995-04-30,Minneapolis,Chicago,2.091715976331361
16,1995-04-30,Las Vegas,Los Angeles,4.5160235448005235
17,1995-04-30,San Francisco,Los Angeles,3.6621621621621623
18,1995-04-30,Chicago,Minneapolis,2.8228228228228227
19,1995-04-30,Los Angeles,San Francisco,1.8604651162790697
20,1995-05-31,Minneapolis,Chicago,-0.04863424383744171
21,1995-05-31,Las Vegas,Los Angeles,3.826452064380686
22,1995-05-31,San Francisco,Los Angeles,5.3773448773448775
23,1995-05-31,Chicago,Minneapolis,1.8992562542258282
24,1995-05-31,Los Angeles,San Francisco,3.0462894930198385
25,1995-06-30,Minneapolis,Chicago,4.798772169167804
26,1995-06-30,Las Vegas,Los Angeles,10.335040234089247
27,1995-06-30,San Francisco,Los Angeles,10.516177577125658
28,1995-06-30,Chicago,Minneapolis,10.309606081548031
29,1995-06-30,Los Angeles,San Francisco,10.632776934749621
30,1995-07-31,Minneapolis,Chicago,6.252929014472778
31,1995-07-31,Las Vegas,Los Angeles,6.327903682719547
32,1995-07-31,San Francisco,Los Angeles,0.8213235294117647
33,1995-07-31,Chicago,Minneapolis,8.105923344947735
34,1995-07-31,Los Angeles,San Francisco,3.552473763118441
35,1995-08-31,Minneapolis,Chicago,12.44216787838731
36,1995-08-31,Las Vegas,Los Angeles,8.249648382559775
37,1995-08-31,San Francisco,Los Angeles,0.6334519572953736
38,1995-08-31,Chicago,Minneapolis,14.644
39,1995-08-31,Los Angeles,San Francisco,4.525547445255475
40,1995-09-30,Minneapolis,Chicago,1.783275261324042
41,1995-09-30,Las Vegas,Los Angeles,5.602790014684288
42,1995-09-30,San Francisco,Los Angeles,2.7197549770290963
43,1995-09-30,Chicago,Minneapolis,2.6150598170302604
44,1995-09-30,Los Angeles,San Francisco,2.9099307159353347
45,1995-10-31,Minneapolis,Chicago,3.5557742782152233
46,1995-10-31,Las Vegas,Los Angeles,9.16090331686662
47,1995-10-31,San Francisco,Los Angeles,7.161723163841808
48,1995-10-31,Chicago,Minneapolis,3.74417055296469
49,1995-10-31,Los Angeles,San Francisco,11.507163323782235
50,1995-11-30,Minneapolis,Chicago,7.729196050775741
51,1995-11-30,Las Vegas,Los Angeles,17.75369822485207
52,1995-11-30,San Francisco,Los Angeles,19.524316109422493
53,1995-11-30,Chicago,Minneapolis,7.223175965665236
54,1995-11-30,Los Angeles,San Francisco,18.228702993092863
55,1995-12-31,Minneapolis,Chicago,10.404831625183016
56,1995-12-31,Las Vegas,Los Angeles,16.059901338971105
57,1995-12-31,San Francisco,Los Angeles,35.64817629179331
58,1995-12-31,Chicago,Minneapolis,9.704256908140403
59,1995-12-31,Los Angeles,San Francisco,26.888122605363986
0,1996-01-31,Minneapolis,Chicago,12.82844243792325
1,1996-01-31,Las Vegas,Los Angeles,10.774283717679944
2,1996-01-31,San Francisco,Los Angeles,22.96981424148607
3,1996-01-31,Chicago,Minneapolis,15.017746913580247
4,1996-01-31,Los Angeles,San Francisco,14.835257890685142
5,1996-02-29,Minneapolis,Chicago,8.657914478619656
6,1996-02-29,Las Vegas,Los Angeles,13.531710914454278
7,1996-02-29,San Francisco,Los Angeles,27.71268954509178
8,1996-02-29,Chicago,Minneapolis,6.581929555895865
9,1996-02-29,Los Angeles,San Francisco,23.159072741806554
10,1996-03-31,Minneapolis,Chicago,3.2109320252277507
11,1996-03-31,Las Vegas,Los Angeles,7.737060041407868
12,1996-03-31,San Francisco,Los Angeles,9.080029368575625
13,1996-03-31,Chicago,Minneapolis,5.4761225944404845
14,1996-03-31,Los Angeles,San Francisco,6.800441826215022
15,1996-04-30,Minneapolis,Chicago,3.312106368089573
16,1996-04-30,Las Vegas,Los Angeles,4.366643209007741
17,1996-04-30,San Francisco,Los Angeles,3.9737827715355807
18,1996-04-30,Chicago,Minneapolis,4.6571428571428575
19,1996-04-30,Los Angeles,San Francisco,1.8011958146487295
20,1996-05-31,Minneapolis,Chicago,18.307132459970887
21,1996-05-31,Las Vegas,Los Angeles,3.5235816814764185
22,1996-05-31,San Francisco,Los Angeles,5.997769516728624
23,1996-05-31,Chicago,Minneapolis,13.166057059253841
24,1996-05-31,Los Angeles,San Francisco,1.2672978878368537
25,1996-06-30,Minneapolis,Chicago,13.776811594202899
26,1996-06-30,Las Vegas,Los Angeles,6.707796610169492
27,1996-06-30,San Francisco,Los Angeles,7.073989321128909
28,1996-06-30,Chicago,Minneapolis,13.71613832853026
29,1996-06-30,Los Angeles,San Francisco,5.450557620817844
30,1996-07-31,Minneapolis,Chicago,11.293417366946779
31,1996-07-31,Las Vegas,Los Angeles,9.753701211305518
32,1996-07-31,San Francisco,Los Angeles,2.3740685543964233
33,1996-07-31,Chicago,Minneapolis,9.374912403644009
34,1996-07-31,Los Angeles,San Francisco,4.226086956521739
35,1996-08-31,Minneapolis,Chicago,6.549382716049383
36,1996-08-31,Las Vegas,Los Angeles,9.926509186351707
37,1996-08-31,San Francisco,Los Angeles,5.783195798949738
38,1996-08-31,Chicago,Minneapolis,5.88911704312115
39,1996-08-31,Los Angeles,San Francisco,8.027737226277372
40,1996-09-30,Minneapolis,Chicago,5.443416370106761
41,1996-09-30,Las Vegas,Los Angeles,7.2259810554803785
42,1996-09-30,San Francisco,Los Angeles,8.92361111111111
43,1996-09-30,Chicago,Minneapolis,1.1978723404255318
44,1996-09-30,Los Angeles,San Francisco,8.570433436532507
45,1996-10-31,Minneapolis,Chicago,6.265571526351814
46,1996-10-31,Las Vegas,Los Angeles,14.410205434062293
47,1996-10-31,San Francisco,Los Angeles,19.270473328324567
48,1996-10-31,Chicago,Minneapolis,3.071186440677966
49,1996-10-31,Los Angeles,San Francisco,19.61324303987961
50,1996-11-30,Minneapolis,Chicago,7.03921568627451
51,1996-11-30,Las Vegas,Los Angeles,12.390966831333804
52,1996-11-30,San Francisco,Los Angeles,17.876996805111823
53,1996-11-30,Chicago,Minneapolis,6.56788207913111
54,1996-11-30,Los Angeles,San Francisco,13.916061339790152
55,1996-12-31,Minneapolis,Chicago,17.57683024939662
56,1996-12-31,Las Vegas,Los Angeles,23.539302802460696
57,1996-12-31,San Francisco,Los Angeles,32.24124203821656
58,1996-12-31,Chicago,Minneapolis,17.937649880095922
59,1996-12-31,Los Angeles,San Francisco,28.970494417862838
0,1997-01-31,Minneapolis,Chicago,14.758090614886731
1,1997-01-31,Las Vegas,Los Angeles,16.379310344827587
2,1997-01-31,San Francisco,Los Angeles,27.23027888446215
3,1997-01-31,Chicago,Minneapolis,11.950315457413248
4,1997-01-31,Los Angeles,San Francisco,20.88230584467574
5,1997-02-28,Minneapolis,Chicago,10.805982905982907
6,1997-02-28,Las Vegas,Los Angeles,8.020501138952165
7,1997-02-28,San Francisco,Los Angeles,11.602830974188176
8,1997-02-28,Chicago,Minneapolis,12.86594504579517
9,1997-02-28,Los Angeles,San Francisco,9.263202011735121
10,1997-03-31,Minneapolis,Chicago,10.896578538102643
11,1997-03-31,Las Vegas,Los Angeles,7.31630510846746
12,1997-03-31,San Francisco,Los Angeles,3.686898593634345
13,1997-03-31,Chicago,Minneapolis,9.457575757575757
14,1997-03-31,Los Angeles,San Francisco,6.196467991169978
15,1997-04-30,Minneapolis,Chicago,6.591993841416474
16,1997-04-30,Las Vegas,Los Angeles,6.20767004341534
17,1997-04-30,San Francisco,Los Angeles,6.525568181818182
18,1997-04-30,Chicago,Minneapolis,5.3876784372652144
19,1997-04-30,Los Angeles,San Francisco,1.7562724014336917
20,1997-05-31,Minneapolis,Chicago,3.3597650513950073
21,1997-05-31,Las Vegas,Los Angeles,5.73562412342216
22,1997-05-31,San Francisco,Los Angeles,4.762465373961219
23,1997-05-31,Chicago,Minneapolis,2.334529791816224
24,1997-05-31,Los Angeles,San Francisco,6.624393624393624
25,1997-06-30,Minneapolis,Chicago,8.238095238095237
26,1997-06-30,Las Vegas,Los Angeles,9.127369219105383
27,1997-06-30,San Francisco,Los Angeles,12.2990851513019
28,1997-06-30,Chicago,Minneapolis,10.081140350877194
29,1997-06-30,Los Angeles,San Francisco,13.290119131044149
30,1997-07-31,Minneapolis,Chicago,12.716494845360824
31,1997-07-31,Las Vegas,Los Angeles,7.211964549483013
32,1997-07-31,San Francisco,Los Angeles,7.714093959731543
33,1997-07-31,Chicago,Minneapolis,10.590778097982708
34,1997-07-31,Los Angeles,San Francisco,10.808310991957105
35,1997-08-31,Minneapolis,Chicago,8.834437086092715
36,1997-08-31,Las Vegas,Los Angeles,12.068413391557497
37,1997-08-31,San Francisco,Los Angeles,15.582312925170068
38,1997-08-31,Chicago,Minneapolis,4.994240460763139
39,1997-08-31,Los Angeles,San Francisco,17.96153846153846
40,1997-09-30,Minneapolis,Chicago,6.8090909090909095
41,1997-09-30,Las Vegas,Los Angeles,3.690744920993228
42,1997-09-30,San Francisco,Los Angeles,2.076419213973799
43,1997-09-30,Chicago,Minneapolis,4.085311572700297
44,1997-09-30,Los Angeles,San Francisco,2.7258181818181817
45,1997-10-31,Minneapolis,Chicago,4.008029197080292
46,1997-10-31,Las Vegas,Los Angeles,7.4673514306676445
47,1997-10-31,San Francisco,Los Angeles,10.444204463642908
48,1997-10-31,Chicago,Minneapolis,2.1938483547925607
49,1997-10-31,Los Angeles,San Francisco,8.012893982808023
50,1997-11-30,Minneapolis,Chicago,3.1242937853107344
51,1997-11-30,Las Vegas,Los Angeles,9.724867724867725
52,1997-11-30,San Francisco,Los Angeles,19.57808857808858
53,1997-11-30,Chicago,Minneapolis,5.487510072522159
54,1997-11-30,Los Angeles,San Francisco,15.561051004636786
55,1997-12-31,Minneapolis,Chicago,5.370072405470635
56,1997-12-31,Las Vegas,Los Angeles,11.645502645502646
57,1997-12-31,San Francisco,Los Angeles,12.45610119047619
58,1997-12-31,Chicago,Minneapolis,6.88995983935743
59,1997-12-31,Los Angeles,San Francisco,10.682962962962963
0,1998-01-31,Minneapolis,Chicago,11.55482275350371
1,1998-01-31,Las Vegas,Los Angeles,10.645232815964523
2,1998-01-31,San Francisco,Los Angeles,33.719412724306686
3,1998-01-31,Chicago,Minneapolis,13.165841584158416
4,1998-01-31,Los Angeles,San Francisco,25.063386155129276
5,1998-02-28,Minneapolis,Chicago,2.3984641638225255
6,1998-02-28,Las Vegas,Los Angeles,18.960259529602595
7,1998-02-28,San Francisco,Los Angeles,37.406130268199234
8,1998-02-28,Chicago,Minneapolis,8.813993174061434
