,date,dest_city,origin_city,DepDelay
0,1994-01-31,Minneapolis,Chicago,4.850810810810811
1,1994-01-31,Las Vegas,Los Angeles,2.265868263473054
2,1994-01-31,San Francisco,Los Angeles,4.944202266782912
3,1994-01-31,Chicago,Minneapolis,2.6552083333333334
4,1994-01-31,Los Angeles,San Francisco,2.113902847571189
5,1994-02-28,Minneapolis,Chicago,1.8768197088465846
6,1994-02-28,Las Vegas,Los Angeles,3.636015325670498
7,1994-02-28,San Francisco,Los Angeles,6.291396854764107
8,1994-02-28,Chicago,Minneapolis,0.1342281879194631
9,1994-02-28,Los Angeles,San Francisco,3.7605893186003683
10,1994-03-31,Minneapolis,Chicago,-0.7113594040968343
11,1994-03-31,Las Vegas,Los Angeles,2.9649532710280373
12,1994-03-31,San Francisco,Los Angeles,3.376836646499568
13,1994-03-31,Chicago,Minneapolis,-0.987012987012987
14,1994-03-31,Los Angeles,San Francisco,1.793929712460064
15,1994-04-30,Minneapolis,Chicago,-0.12678741658722592
16,1994-04-30,Las Vegas,Los Angeles,2.3271676300578035
17,1994-04-30,San Francisco,Los Angeles,2.9149122807017545
18,1994-04-30,Chicago,Minneapolis,-0.8743768693918246
19,1994-04-30,Los Angeles,San Francisco,1.8318367346938775
20,1994-05-31,Minneapolis,Chicago,-0.6418439716312057
21,1994-05-31,Las Vegas,Los Angeles,2.5152198421646
22,1994-05-31,San Francisco,Los Angeles,3.047815333882935
23,1994-05-31,Chicago,Minneapolis,-1.0956848030018762
24,1994-05-31,Los Angeles,San Francisco,1.4976076555023923
25,1994-06-30,Minneapolis,Chicago,0.8207816968541468
26,1994-06-30,Las Vegas,Los Angeles,2.856972586412396
27,1994-06-30,San Francisco,Los Angeles,1.8762295081967213
28,1994-06-30,Chicago,Minneapolis,0.2858490566037736
29,1994-06-30,Los Angeles,San Francisco,1.6
30,1994-07-31,Minneapolis,Chicago,0.6806187443130118
31,1994-07-31,Las Vegas,Los Angeles,4.390951276102088
32,1994-07-31,San Francisco,Los Angeles,3.44609375
33,1994-07-31,Chicago,Minneapolis,0.16833484986351227
34,1994-07-31,Los Angeles,San Francisco,2.0343511450381677
35,1994-08-31,Minneapolis,Chicago,0.2537182852143482
36,1994-08-31,Las Vegas,Los Angeles,3.5011494252873563
37,1994-08-31,San Francisco,Los Angeles,2.4477498093058734
38,1994-08-31,Chicago,Minneapolis,-0.05225863596102746
39,1994-08-31,Los Angeles,San Francisco,1.5796886582653817
40,1994-09-30,Minneapolis,Chicago,-0.3073516386182462
41,1994-09-30,Las Vegas,Los Angeles,2.5319634703196345
42,1994-09-30,San Francisco,Los Angeles,1.728630705394191
43,1994-09-30,Chicago,Minneapolis,-0.5783684692942255
44,1994-09-30,Los Angeles,San Francisco,1.327843137254902
45,1994-10-31,Minneapolis,Chicago,-0.6432748538011696
46,1994-10-31,Las Vegas,Los Angeles,3.2843029637760703
47,1994-10-31,San Francisco,Los Angeles,-0.35623599701269604
