,date,dest_city,origin_city,DepDelay
0,1994-01-31,Minneapolis,Chicago,11.0289592760181
1,1994-01-31,Las Vegas,Los Angeles,5.16911045943304
2,1994-01-31,San Francisco,Los Angeles,10.183381088825215
3,1994-01-31,Chicago,Minneapolis,8.597976080956762
4,1994-01-31,Los Angeles,San Francisco,6.537900874635569
5,1994-02-28,Minneapolis,Chicago,8.171318575553416
6,1994-02-28,Las Vegas,Los Angeles,6.2489316239316235
7,1994-02-28,San Francisco,Los Angeles,11.863886703383162
8,1994-02-28,Chicago,Minneapolis,4.4281553398058255
9,1994-02-28,Los Angeles,San Francisco,8.695102685624013
10,1994-03-31,Minneapolis,Chicago,1.2770323599052882
11,1994-03-31,Las Vegas,Los Angeles,7.01244019138756
12,1994-03-31,San Francisco,Los Angeles,7.844238975817923
13,1994-03-31,Chicago,Minneapolis,0.5390686661404893
14,1994-03-31,Los Angeles,San Francisco,5.6429065743944635
15,1994-04-30,Minneapolis,Chicago,3.471604938271605
16,1994-04-30,Las Vegas,Los Angeles,4.664039408866995
17,1994-04-30,San Francisco,Los Angeles,7.148600143575018
18,1994-04-30,Chicago,Minneapolis,2.862646566164154
19,1994-04-30,Los Angeles,San Francisco,5.0748251748251745
20,1994-05-31,Minneapolis,Chicago,1.4763749031758326
21,1994-05-31,Las Vegas,Los Angeles,5.033333333333333
22,1994-05-31,San Francisco,Los Angeles,6.907949790794979
23,1994-05-31,Chicago,Minneapolis,0.24648985959438377
24,1994-05-31,Los Angeles,San Francisco,4.825068870523416
25,1994-06-30,Minneapolis,Chicago,4.792176039119805
26,1994-06-30,Las Vegas,Los Angeles,4.974974974974975
27,1994-06-30,San Francisco,Los Angeles,4.857638888888889
28,1994-06-30,Chicago,Minneapolis,4.256680161943319
29,1994-06-30,Los Angeles,San Francisco,3.97679180887372
30,1994-07-31,Minneapolis,Chicago,5.939607843137255
31,1994-07-31,Las Vegas,Los Angeles,8.064139941690962
32,1994-07-31,San Francisco,Los Angeles,7.867558528428094
33,1994-07-31,Chicago,Minneapolis,6.0015772870662465
34,1994-07-31,Los Angeles,San Francisco,5.041804910418049
35,1994-08-31,Minneapolis,Chicago,4.440275650842266
36,1994-08-31,Las Vegas,Los Angeles,6.5311004784688995
37,1994-08-31,San Francisco,Los Angeles,5.067629678266579
38,1994-08-31,Chicago,Minneapolis,5.000765110941087
39,1994-08-31,Los Angeles,San Francisco,3.9569471624266144
40,1994-09-30,Minneapolis,Chicago,2.136858475894246
41,1994-09-30,Las Vegas,Los Angeles,5.385633270321361
42,1994-09-30,San Francisco,Los Angeles,4.311385459533608
43,1994-09-30,Chicago,Minneapolis,2.154818325434439
44,1994-09-30,Los Angeles,San Francisco,3.596851471594798
45,1994-10-31,Minneapolis,Chicago,1.6754578754578755
46,1994-10-31,Las Vegas,Los Angeles,6.305656934306569
47,1994-10-31,San Francisco,Los Angeles,2.5464733025708637
48,1994-10-31,Chicago,Minneapolis,1.955719557195572
49,1994-10-31,Los Angeles,San Francisco,1.497698882314267
50,1994-11-30,Minneapolis,Chicago,5.665322580645161
51,1994-11-30,Las Vegas,Los Angeles,9.122464898595943
52,1994-11-30,San Francisco,Los Angeles,9.432558139534883
53,1994-11-30,Chicago,Minneapolis,4.467259498787389
54,1994-11-30,Los Angeles,San Francisco,8.477078477078477
55,1994-12-31,Minneapolis,Chicago,4.583908045977012
56,1994-12-31,Las Vegas,Los Angeles,9.718794835007174
57,1994-12-31,San Francisco,Los Angeles,7.631245601688952
58,1994-12-31,Chicago,Minneapolis,3.2681607418856258
59,1994-12-31,Los Angeles,San Francisco,6.053342816500711
0,1995-01-31,Minneapolis,Chicago,7.961538461538462
1,1995-01-31,Las Vegas,Los Angeles,17.53994673768309
2,1995-01-31,San Francisco,Los Angeles,15.82039911308204
3,1995-01-31,Chicago,Minneapolis,4.77726574500768
4,1995-01-31,Los Angeles,San Francisco,16.36425339366516
5,1995-02-28,Minneapolis,Chicago,2.6303837118245887
6,1995-02-28,Las Vegas,Los Angeles,7.956859971711457
7,1995-02-28,San Francisco,Los Angeles,6.519171779141105
8,1995-02-28,Chicago,Minneapolis,2.562200956937799
9,1995-02-28,Los Angeles,San Francisco,4.621389539422326
10,1995-03-31,Minneapolis,Chicago,5.561304039688165
11,1995-03-31,Las Vegas,Los Angeles,10.284821986258589
12,1995-03-31,San Francisco,Los Angeles,13.14956647398844
13,1995-03-31,Chicago,Minneapolis,4.607558139534884
14,1995-03-31,Los Angeles,San Francisco,11.521835677276092
15,1995-04-30,Minneapolis,Chicago,5.96230598669623
16,1995-04-30,Las Vegas,Los Angeles,6.05624591236102
17,1995-04-30,San Francisco,Los Angeles,7.213371266002845
18,1995-04-30,Chicago,Minneapolis,4.374343585896474
19,1995-04-30,Los Angeles,San Francisco,5.789970930232558
20,1995-05-31,Minneapolis,Chicago,3.900199600798403
21,1995-05-31,Las Vegas,Los Angeles,5.947515745276417
22,1995-05-31,San Francisco,Los Angeles,8.847152126892574
23,1995-05-31,Chicago,Minneapolis,3.138907619689818
24,1995-05-31,Los Angeles,San Francisco,6.768552534900809
25,1995-06-30,Minneapolis,Chicago,9.262261580381471
26,1995-06-30,Las Vegas,Los Angeles,11.422823701536212
27,1995-06-30,San Francisco,Los Angeles,14.325563909774436
28,1995-06-30,Chicago,Minneapolis,8.630779848171153
29,1995-06-30,Los Angeles,San Francisco,12.68361153262519
30,1995-07-31,Minneapolis,Chicago,7.949210706932052
31,1995-07-31,Las Vegas,Los Angeles,7.3229461756373935
32,1995-07-31,San Francisco,Los Angeles,9.12114537444934
33,1995-07-31,Chicago,Minneapolis,7.070735090152566
34,1995-07-31,Los Angeles,San Francisco,6.260119940029985
35,1995-08-31,Minneapolis,Chicago,11.774257425742574
36,1995-08-31,Las Vegas,Los Angeles,8.39873417721519
37,1995-08-31,San Francisco,Los Angeles,9.30583214793741
38,1995-08-31,Chicago,Minneapolis,10.7771124417831
39,1995-08-31,Los Angeles,San Francisco,6.456934306569343
40,1995-09-30,Minneapolis,Chicago,4.096662030598053
41,1995-09-30,Las Vegas,Los Angeles,5.932452276064611
42,1995-09-30,San Francisco,Los Angeles,9.114678899082568
43,1995-09-30,Chicago,Minneapolis,2.9261603375527425
44,1995-09-30,Los Angeles,San Francisco,6.912240184757506
45,1995-10-31,Minneapolis,Chicago,5.097769028871391
46,1995-10-31,Las Vegas,Los Angeles,8.629498941425547
47,1995-10-31,San Francisco,Los Angeles,12.889985895627644
48,1995-10-31,Chicago,Minneapolis,3.614923384410393
49,1995-10-31,Los Angeles,San Francisco,10.498927805575411
50,1995-11-30,Minneapolis,Chicago,9.6163610719323
51,1995-11-30,Las Vegas,Los Angeles,16.795118343195266
52,1995-11-30,San Francisco,Los Angeles,22.851432880844644
53,1995-11-30,Chicago,Minneapolis,6.8229835831548895
54,1995-11-30,Los Angeles,San Francisco,18.714176245210727
55,1995-12-31,Minneapolis,Chicago,11.386695906432749
56,1995-12-31,Las Vegas,Los Angeles,16.199436222692036
57,1995-12-31,San Francisco,Los Angeles,31.336363636363636
58,1995-12-31,Chicago,Minneapolis,7.809985096870343
59,1995-12-31,Los Angeles,San Francisco,29.2088752869166
0,1996-01-31,Minneapolis,Chicago,13.693693693693694
1,1996-01-31,Las Vegas,Los Angeles,11.58700209643606
2,1996-01-31,San Francisco,Los Angeles,22.095605242868157
3,1996-01-31,Chicago,Minneapolis,10.659476117103235
4,1996-01-31,Los Angeles,San Francisco,19.715165511932256
5,1996-02-29,Minneapolis,Chicago,9.355538922155688
6,1996-02-29,Las Vegas,Los Angeles,14.553426676492263
7,1996-02-29,San Francisco,Los Angeles,26.974501992031872
8,1996-02-29,Chicago,Minneapolis,7.055087987758225
9,1996-02-29,Los Angeles,San Francisco,24.808306709265175
10,1996-03-31,Minneapolis,Chicago,7.098670398880336
11,1996-03-31,Las Vegas,Los Angeles,8.72463768115942
12,1996-03-31,San Francisco,Los Angeles,13.952311078503302
13,1996-03-31,Chicago,Minneapolis,4.7644128113879
14,1996-03-31,Los Angeles,San Francisco,10.310014727540501
15,1996-04-30,Minneapolis,Chicago,6.152554233729881
16,1996-04-30,Las Vegas,Los Angeles,5.278676988036594
17,1996-04-30,San Francisco,Los Angeles,8.350299401197605
18,1996-04-30,Chicago,Minneapolis,4.887223411848679
19,1996-04-30,Los Angeles,San Francisco,7.498505231689088
20,1996-05-31,Minneapolis,Chicago,14.752727272727272
21,1996-05-31,Las Vegas,Los Angeles,5.101161995898838
22,1996-05-31,San Francisco,Los Angeles,9.875278396436526
23,1996-05-31,Chicago,Minneapolis,11.69264384559359
24,1996-05-31,Los Angeles,San Francisco,7.437818181818182
25,1996-06-30,Minneapolis,Chicago,11.97041847041847
26,1996-06-30,Las Vegas,Los Angeles,7.447457627118644
27,1996-06-30,San Francisco,Los Angeles,11.793916349809885
28,1996-06-30,Chicago,Minneapolis,11.710791366906475
29,1996-06-30,Los Angeles,San Francisco,9.452044609665428
30,1996-07-31,Minneapolis,Chicago,10.139160839160839
31,1996-07-31,Las Vegas,Los Angeles,8.558467741935484
32,1996-07-31,San Francisco,Los Angeles,8.225111441307577
33,1996-07-31,Chicago,Minneapolis,10.445219818562457
34,1996-07-31,Los Angeles,San Francisco,7.073913043478261
35,1996-08-31,Minneapolis,Chicago,7.198080877313228
36,1996-08-31,Las Vegas,Los Angeles,8.98228346456693
37,1996-08-31,San Francisco,Los Angeles,11.452023988005998
38,1996-08-31,Chicago,Minneapolis,6.188098495212039
39,1996-08-31,Los Angeles,San Francisco,10.001459854014598
40,1996-09-30,Minneapolis,Chicago,5.45945945945946
41,1996-09-30,Las Vegas,Los Angeles,7.85723951285521
42,1996-09-30,San Francisco,Los Angeles,13.800308404009252
43,1996-09-30,Chicago,Minneapolis,2.644475920679887
44,1996-09-30,Los Angeles,San Francisco,10.77030162412993
45,1996-10-31,Minneapolis,Chicago,5.981569965870307
46,1996-10-31,Las Vegas,Los Angeles,14.055666003976143
47,1996-10-31,San Francisco,Los Angeles,20.71290082028337
48,1996-10-31,Chicago,Minneapolis,4.219661016949153
49,1996-10-31,Los Angeles,San Francisco,18.46390977443609
50,1996-11-30,Minneapolis,Chicago,6.9694596711041505
51,1996-11-30,Las Vegas,Los Angeles,11.933662667607623
52,1996-11-30,San Francisco,Los Angeles,19.040508339952343
53,1996-11-30,Chicago,Minneapolis,7.782170542635659
54,1996-11-30,Los Angeles,San Francisco,16.39032258064516
55,1996-12-31,Minneapolis,Chicago,14.945381526104418
56,1996-12-31,Las Vegas,Los Angeles,23.435109289617486
57,1996-12-31,San Francisco,Los Angeles,31.04113924050633
58,1996-12-31,Chicago,Minneapolis,14.77565632458234
59,1996-12-31,Los Angeles,San Francisco,30.210651828298886
0,1997-01-31,Minneapolis,Chicago,12.401778496362166
1,1997-01-31,Las Vegas,Los Angeles,16.107432432432432
2,1997-01-31,San Francisco,Los Angeles,26.04126984126984
3,1997-01-31,Chicago,Minneapolis,8.379527559055118
4,1997-01-31,Los Angeles,San Francisco,22.4056
5,1997-02-28,Minneapolis,Chicago,10.85519591141397
6,1997-02-28,Las Vegas,Los Angeles,8.256643887623387
7,1997-02-28,San Francisco,Los Angeles,15.694929343308395
8,1997-02-28,Chicago,Minneapolis,8.386533665835412
9,1997-02-28,Los Angeles,San Francisco,13.998324958123954
10,1997-03-31,Minneapolis,Chicago,8.752136752136753
11,1997-03-31,Las Vegas,Los Angeles,7.610216934919524
12,1997-03-31,San Francisco,Los Angeles,12.1890694239291
13,1997-03-31,Chicago,Minneapolis,8.061933534743202
14,1997-03-31,Los Angeles,San Francisco,8.261221486387049
15,1997-04-30,Minneapolis,Chicago,7.083910700538876
16,1997-04-30,Las Vegas,Los Angeles,6.356729377713458
17,1997-04-30,San Francisco,Los Angeles,8.96167494677076
18,1997-04-30,Chicago,Minneapolis,5.283895131086142
19,1997-04-30,Los Angeles,San Francisco,5.888888888888889
20,1997-05-31,Minneapolis,Chicago,4.966226138032305
21,1997-05-31,Las Vegas,Los Angeles,6.277699859747545
22,1997-05-31,San Francisco,Los Angeles,8.179930795847751
23,1997-05-31,Chicago,Minneapolis,3.0172166427546627
24,1997-05-31,Los Angeles,San Francisco,5.534996534996535
25,1997-06-30,Minneapolis,Chicago,9.339762611275964
26,1997-06-30,Las Vegas,Los Angeles,9.694171082513247
27,1997-06-30,San Francisco,Los Angeles,13.060478199718705
28,1997-06-30,Chicago,Minneapolis,8.742335766423357
29,1997-06-30,Los Angeles,San Francisco,9.494744218640504
30,1997-07-31,Minneapolis,Chicago,10.100513573000734
31,1997-07-31,Las Vegas,Los Angeles,7.486706056129985
32,1997-07-31,San Francisco,Los Angeles,9.613422818791946
33,1997-07-31,Chicago,Minneapolis,9.348201438848921
34,1997-07-31,Los Angeles,San Francisco,7.872654155495979
35,1997-08-31,Minneapolis,Chicago,8.869309838472834
36,1997-08-31,Las Vegas,Los Angeles,11.638545454545454
37,1997-08-31,San Francisco,Los Angeles,16.81953867028494
38,1997-08-31,Chicago,Minneapolis,6.356578001437814
39,1997-08-31,Los Angeles,San Francisco,14.620782726045883
40,1997-09-30,Minneapolis,Chicago,5.391534391534392
41,1997-09-30,Las Vegas,Los Angeles,4.395786305492852
42,1997-09-30,San Francisco,Los Angeles,5.852578068264343
43,1997-09-30,Chicago,Minneapolis,4.741863905325443
44,1997-09-30,Los Angeles,San Francisco,5.152
45,1997-10-31,Minneapolis,Chicago,3.5353756382202772
46,1997-10-31,Las Vegas,Los Angeles,7.099046221570066
47,1997-10-31,San Francisco,Los Angeles,11.585488505747126
48,1997-10-31,Chicago,Minneapolis,4.192280200142959
49,1997-10-31,Los Angeles,San Francisco,9.445955619183966
50,1997-11-30,Minneapolis,Chicago,5.433977455716586
51,1997-11-30,Las Vegas,Los Angeles,10.671201814058957
52,1997-11-30,San Francisco,Los Angeles,17.38294573643411
53,1997-11-30,Chicago,Minneapolis,6.22508038585209
54,1997-11-30,Los Angeles,San Francisco,17.257341576506956
55,1997-12-31,Minneapolis,Chicago,8.146302250803858
56,1997-12-31,Las Vegas,Los Angeles,10.7286470143613
57,1997-12-31,San Francisco,Los Angeles,13.616071428571429
58,1997-12-31,Chicago,Minneapolis,7.231139646869984
59,1997-12-31,Los Angeles,San Francisco,13.89037037037037
0,1998-01-31,Minneapolis,Chicago,11.608731466227347
1,1998-01-31,Las Vegas,Los Angeles,11.528803545051698
2,1998-01-31,San Francisco,Los Angeles,28.830618892508145
3,1998-01-31,Chicago,Minneapolis,9.296296296296296
4,1998-01-31,Los Angeles,San Francisco,27.355296080066722
5,1998-02-28,Minneapolis,Chicago,5.348976109215017
6,1998-02-28,Las Vegas,Los Angeles,17.99270072992701
7,1998-02-28,San Francisco,Los Angeles,32.97612225405922
8,1998-02-28,Chicago,Minneapolis,4.2893617021276595
9,1998-02-28,Los Angeles,San Francisco,32.30520117762512
10,1998-03-31,Minneapolis,Chicago,9.646831530139103
11,1998-03-31,Las Vegas,Los Angeles,9.981173062997827
12,1998-03-31,San Francisco,Los Angeles,19.77494199535963
13,1998-03-31,Chicago,Minneapolis,9.44904214559387
14,1998-03-31,Los Angeles,San Francisco,18.10655090765588
15,1998-04-30,Minneapolis,Chicago,7.351055512118843
16,1998-04-30,Las Vegas,Los Angeles,8.543046357615895
17,1998-04-30,San Francisco,Los Angeles,11.806934594168636
18,1998-04-30,Chicago,Minneapolis,8.497250589159465
19,1998-04-30,Los Angeles,San Francisco,13.168646080760094
20,1998-05-31,Minneapolis,Chicago,12.585463258785943
21,1998-05-31,Las Vegas,Los Angeles,9.571008094186903
22,1998-05-31,San Francisco,Los Angeles,19.391556291390728
23,1998-05-31,Chicago,Minneapolis,12.273381294964029
24,1998-05-31,Los Angeles,San Francisco,20.33828382838284
25,1998-06-30,Minneapolis,Chicago,15.515222482435597
26,1998-06-30,Las Vegas,Los Angeles,10.4791192103265
27,1998-06-30,San Francisco,Los Angeles,17.373935264054513
28,1998-06-30,Chicago,Minneapolis,14.063041765169425
29,1998-06-30,Los Angeles,San Francisco,18.23404255319149
30,1998-07-31,Minneapolis,Chicago,7.413169319826339
31,1998-07-31,Las Vegas,Los Angeles,9.741071428571429
32,1998-07-31,San Francisco,Los Angeles,17.82622950819672
33,1998-07-31,Chicago,Minneapolis,7.412964311726147
34,1998-07-31,Los Angeles,San Francisco,15.526229508196721
35,1998-08-31,Minneapolis,Chicago,13.394777265745008
36,1998-08-31,Las Vegas,Los Angeles,11.575757575757576
37,1998-08-31,San Francisco,Los Angeles,13.306284805091488
38,1998-08-31,Chicago,Minneapolis,13.235158057054742
39,1998-08-31,Los Angeles,San Francisco,11.274881516587678
40,1998-09-30,Minneapolis,Chicago,8.977844914400805
41,1998-09-30,Las Vegas,Los Angeles,6.553784860557769
42,1998-09-30,San Francisco,Los Angeles,13.973572037510657
43,1998-09-30,Chicago,Minneapolis,8.06570841889117
44,1998-09-30,Los Angeles,San Francisco,11.761421319796954
45,1998-10-31,Minneapolis,Chicago,6.412582297000731
46,1998-10-31,Las Vegas,Los Angeles,8.33115468409586
47,1998-10-31,San Francisco,Los Angeles,11.875098814229249
48,1998-10-31,Chicago,Minneapolis,4.821376281112738
49,1998-10-31,Los Angeles,San Francisco,11.16942474389283
50,1998-11-30,Minneapolis,Chicago,2.88203125
51,1998-11-30,Las Vegas,Los Angeles,8.072604790419161
52,1998-11-30,San Francisco,Los Angeles,17.152740341419587
53,1998-11-30,Chicago,Minneapolis,2.70234375
54,1998-11-30,Los Angeles,San Francisco,14.171888988361683
55,1998-12-31,Minneapolis,Chicago,5.197847682119205
56,1998-12-31,Las Vegas,Los Angeles,14.8
57,1998-12-31,San Francisco,Los Angeles,14.453416149068323
58,1998-12-31,Chicago,Minneapolis,4.422824302134647
59,1998-12-31,Los Angeles,San Francisco,13.480956598759965
0,1999-01-31,Minneapolis,Chicago,15.821554770318022
1,1999-01-31,Las Vegas,Los Angeles,7.812125748502994
2,1999-01-31,San Francisco,Los Angeles,16.189289012003695
3,1999-01-31,Chicago,Minneapolis,13.71643109540636
4,1999-01-31,Los Angeles,San Francisco,12.54486586493987
5,1999-02-28,Minneapolis,Chicago,3.5885860306643953
6,1999-02-28,Las Vegas,Los Angeles,7.465473145780051
7,1999-02-28,San Francisco,Los Angeles,14.787968441814595
8,1999-02-28,Chicago,Minneapolis,4.129251700680272
9,1999-02-28,Los Angeles,San Francisco,11.667992047713717
10,1999-03-31,Minneapolis,Chicago,4.7109557109557105
11,1999-03-31,Las Vegas,Los Angeles,6.734612310151879
12,1999-03-31,San Francisco,Los Angeles,17.68236301369863
13,1999-03-31,Chicago,Minneapolis,3.9683397683397685
14,1999-03-31,Los Angeles,San Francisco,11.664383561643836
15,1999-04-30,Minneapolis,Chicago,8.223832528180354
16,1999-04-30,Las Vegas,Los Angeles,11.338576158940397
17,1999-04-30,San Francisco,Los Angeles,12.266545784224842
18,1999-04-30,Chicago,Minneapolis,7.741100323624596
19,1999-04-30,Los Angeles,San Francisco,9.42572463768116
20,1999-05-31,Minneapolis,Chicago,8.950665622552858
21,1999-05-31,Las Vegas,Los Angeles,6.319545823195458
22,1999-05-31,San Francisco,Los Angeles,16.007894736842104
23,1999-05-31,Chicago,Minneapolis,7.107476635514018
